kind	homebrew_name	homebrew_version	requested	decision	nix_attribute	nix_locked_version
formula	abseil	20260817.0	false	dependency	-	-
formula	act	0.2.89	true	not selected	-	-
formula	actionlint	1.7.12	true	migrate	actionlint	1.7.12
formula	ada-url	4.0.0	false	dependency	-	-
formula	age	1.3.2	true	not selected	-	-
formula	aom	3.15.1	false	dependency	-	-
formula	arp-scan	1.10.0	true	not selected	-	-
formula	asc	5.4.0	true	not selected	-	-
formula	ast-grep	0.45.3	true	not selected	-	-
formula	autoconf	2.73	false	dependency	-	-
formula	bat	0.26.1	true	migrate	bat	0.26.1
formula	bats-core	1.14.0	true	migrate	bats	1.12.0
formula	binwalk	3.1.0	true	not selected	-	-
formula	boost	1.92.0	false	dependency	-	-
formula	brotli	1.2.0	false	dependency	-	-
formula	c-ares	1.34.8	false	dependency	-	-
formula	ca-certificates	2026-08-13	false	dependency	-	-
formula	cairo	1.18.6	false	dependency	-	-
formula	carthage	0.40.0	true	not selected	-	-
formula	certifi	2026.7.22	false	dependency	-	-
formula	cffi	2.1.1	false	dependency	-	-
formula	clang-format	23.1.2	true	not selected	-	-
formula	cocoapods	1.17.0	true	migrate	cocoapods	1.16.2
formula	coreutils	9.12	true	migrate	coreutils	9.11
formula	curl	8.22.0	true	migrate	curl	8.22.0
formula	dav1d	1.5.4	false	dependency	-	-
formula	deno	2.9.7	false	dependency	-	-
formula	depot	2.102.2	true	not selected	-	-
formula	detect-secrets	1.5.0_9	true	not selected	-	-
formula	difftastic	0.71.0	true	migrate	difftastic	0.69.0
formula	docker	29.8.1	true	not selected	-	-
formula	double-conversion	3.4.0	false	dependency	-	-
formula	dpkg	1.23.11	true	not selected	-	-
formula	dprint	0.57.4	true	not selected	-	-
formula	dua-cli	2.45.0	true	not selected	-	-
formula	dust	1.2.6	true	migrate	dust	1.2.4
formula	edencommon	2026.09.21.00	false	dependency	-	-
formula	eza	0.23.5	true	migrate	eza	0.23.4
formula	fastlane	2.240.1	true	migrate	fastlane	2.232.2
formula	fb303	2026.09.21.00	false	dependency	-	-
formula	fbthrift	2026.09.21.00	false	dependency	-	-
formula	fd	10.5.0	true	migrate	fd	10.4.2
formula	ffmpeg	9.0.2	true	migrate	ffmpeg	8.1.2
formula	fizz	2026.09.21.00	false	dependency	-	-
formula	fmt	12.2.0	false	dependency	-	-
formula	folly	2026.09.21.00	false	dependency	-	-
formula	fontconfig	2.18.3	false	dependency	-	-
formula	freetype	2.14.3	false	dependency	-	-
formula	fribidi	1.0.17	false	dependency	-	-
formula	fzf	0.74.4	true	migrate	fzf	0.72.0
formula	gd	2.3.3_6	false	dependency	-	-
formula	gdbm	1.26	false	dependency	-	-
formula	gdk-pixbuf	2.44.8	false	dependency	-	-
formula	gdu	5.37.0	true	migrate	gdu	5.36.1
formula	gettext	1.0	false	dependency	-	-
formula	gflags	2.3.1	false	dependency	-	-
formula	ggml	0.25.1	false	dependency	-	-
formula	gh	2.101.0	true	migrate	gh	2.101.0
formula	giflib	6.1.3	false	dependency	-	-
formula	git	2.55.0	true	migrate	git	2.54.0
formula	git-branchless	0.11.1	true	not selected	-	-
formula	git-delta	0.19.2	true	migrate	delta	0.19.2
formula	git-extras	7.5.0	true	not selected	-	-
formula	git-filter-repo	2.47.0	true	not selected	-	-
formula	git-flow	0.4.1_1	true	not selected	-	-
formula	git-ignore	1.4.0	true	not selected	-	-
formula	git-imerge	1.2.0_1	true	not selected	-	-
formula	git-lfs	3.8.0	true	migrate	git-lfs	3.7.1
formula	git-quick-stats	2.11.0	true	not selected	-	-
formula	git-secrets	1.3.0	true	not selected	-	-
formula	git-standup	2.3.2	true	not selected	-	-
formula	gitleaks	8.30.1	true	migrate	gitleaks	8.30.1
formula	glab	1.119.0	true	not selected	-	-
formula	glib	2.90.0	false	dependency	-	-
formula	glog	0.7.1	false	dependency	-	-
formula	gmp	6.3.0	false	dependency	-	-
formula	gnu-tar	1.35_1	false	dependency	-	-
formula	gnupg	2.5.24	true	not selected	-	-
formula	gnutls	3.8.13_2	false	dependency	-	-
formula	go	1.27.1	true	not selected	-	-
formula	gpatch	2.8	false	dependency	-	-
formula	gpgme	2.2.0	false	dependency	-	-
formula	gpgmepp	2.2.0	false	dependency	-	-
formula	gradle	9.7.1_1	true	not selected	-	-
formula	gradle-completion	9.7.1	false	dependency	-	-
formula	graphite2	1.3.15	false	dependency	-	-
formula	graphviz	16.1.0	true	not selected	-	-
formula	grex	1.4.6	true	not selected	-	-
formula	gts	0.7.6_3	false	dependency	-	-
formula	harfbuzz	14.5.0	false	dependency	-	-
formula	hdrhistogram_c	0.11.10	false	dependency	-	-
formula	herdr	0.9.1	true	not selected	-	-
